"date","value"
2020-02-27,111.27
2020-02-28,122.41
2020-02-29,129.48
2020-03-01,109.14
2020-03-02,102.74
2020-03-03,105.44
2020-03-04,106.93
2020-03-05,106.97
2020-03-06,118.77
2020-03-07,127.78
2020-03-08,100.86
2020-03-09,98.05
2020-03-10,99.47
2020-03-11,94.33
2020-03-12,86.28
2020-03-13,89.95
2020-03-14,94.84
2020-03-15,67.46
2020-03-16,57.95
2020-03-17,46.33
2020-03-18,40.32
2020-03-19,38.7
2020-03-20,34.64
2020-03-21,28.01
2020-03-22,25.9
2020-03-23,24.44
2020-03-24,17.15
2020-03-25,15.43
2020-03-26,14.49
2020-03-27,14.05
2020-03-28,13.6
2020-03-29,13.3
2020-03-30,14.16
2020-03-31,13.92
2020-04-01,13.66
2020-04-02,13.65
2020-04-03,13.36
2020-04-04,12.51
2020-04-05,12.83
2020-04-06,13.65
2020-04-07,13.36
2020-04-08,13.18
2020-04-09,13.25
2020-04-10,12.7
2020-04-11,12.1
2020-04-12,11.21
2020-04-13,12.72
2020-04-14,13.72
2020-04-15,13.91
2020-04-16,13.62
2020-04-17,13.17
2020-04-18,12.6
2020-04-19,13.58
2020-04-20,14.78
2020-04-21,14.7
2020-04-22,14.73
2020-04-23,14.85
2020-04-24,14.57
2020-04-25,14.42
2020-04-26,15.21
2020-04-27,15.41
2020-04-28,14.57
2020-04-29,15.04
2020-04-30,14.84
2020-05-01,15.62
2020-05-02,15.94
2020-05-03,16.21
2020-05-04,17.38
2020-05-05,17.57
2020-05-06,17.49
2020-05-07,17.67
2020-05-08,17.78
2020-05-09,18.45
2020-05-10,17.92
2020-05-11,NA
2020-05-12,NA
2020-05-13,19.95
2020-05-14,19.73
2020-05-15,20.81
2020-05-16,20.38
2020-05-17,21.57
2020-05-18,23.72
2020-05-19,23.93
2020-05-20,25.82
2020-05-21,24.67
2020-05-22,25.06
2020-05-23,24.28
2020-05-24,24.9
2020-05-25,29.48
2020-05-26,29.31
2020-05-27,28.33
2020-03-02,100
2020-03-03,102
2020-03-04,100
2020-03-05,101
2020-03-06,99
2020-03-07,97
2020-03-08,94
2020-03-09,97
2020-03-10,97
2020-03-11,91
2020-03-12,84
2020-03-13,75
2020-03-14,75
2020-03-15,67
2020-03-16,60
2020-03-17,44
2020-03-18,36
2020-03-19,39
2020-03-20,31
2020-03-21,23
2020-03-22,23
2020-03-23,25
2020-03-24,15
2020-03-25,12
2020-03-26,10
2020-03-27,9
2020-03-28,8
2020-03-29,8
2020-03-30,10
2020-03-31,10
2020-04-01,9
2020-04-02,9
2020-04-03,8
2020-04-04,7
2020-04-05,9
2020-04-06,9
2020-04-07,9
2020-04-08,8
2020-04-09,8
2020-04-10,8
2020-04-11,7
2020-04-12,7
2020-04-13,8
2020-04-14,9
2020-04-15,9
2020-04-16,8
2020-04-17,8
2020-04-18,7
2020-04-19,9
2020-04-20,10
2020-04-21,9
2020-04-22,9
2020-04-23,9
2020-04-24,9
2020-04-25,8
2020-04-26,10
2020-04-27,10
2020-04-28,9
2020-04-29,9
2020-04-30,9
2020-05-01,9
2020-05-02,9
2020-05-03,10
2020-05-04,11
2020-05-05,11
2020-05-06,11
2020-05-07,11
2020-05-08,11
2020-05-09,11
2020-05-10,10
2020-05-11,13
2020-05-12,12
2020-05-13,12
2020-05-14,12
2020-05-15,13
2020-05-16,13
2020-05-17,15
2020-05-18,16
2020-05-19,16
2020-05-20,16
2020-05-21,15
2020-05-22,15
2020-05-23,15
2020-05-24,18
2020-05-25,20
2020-05-26,17
2020-05-27,17
2020-05-28,17
2020-02-27,99
2020-02-28,98
2020-02-29,95
2020-03-01,105
2020-03-02,97
2020-03-03,96
2020-03-04,96
2020-03-05,94
2020-03-06,97
2020-03-07,96
2020-03-08,96
2020-03-09,94
2020-03-10,93
2020-03-11,90
2020-03-12,87
2020-03-13,82
2020-03-14,78
2020-03-15,76
2020-03-16,75
2020-03-17,63
2020-03-18,57
2020-03-19,53
2020-03-20,49
2020-03-21,42
2020-03-22,39
2020-03-23,37
2020-03-24,28
2020-03-25,24
2020-03-26,23
2020-03-27,23
2020-03-28,22
2020-03-29,20
2020-03-30,21
2020-03-31,21
2020-04-01,20
2020-04-02,20
2020-04-03,21
2020-04-04,23
2020-04-05,24
2020-04-06,21
2020-04-07,22
2020-04-08,21
2020-04-09,22
2020-04-10,18
2020-04-11,23
2020-04-12,22
2020-04-13,15
2020-04-14,22
2020-04-15,22
2020-04-16,21
2020-04-17,21
2020-04-18,23
2020-04-19,25
2020-04-20,23
2020-04-21,23
2020-04-22,23
2020-04-23,23
2020-04-24,25
2020-04-25,26
2020-04-26,28
2020-04-27,24
2020-04-28,20
2020-04-29,23
2020-04-30,22
2020-05-01,25
2020-05-02,29
2020-05-03,26
2020-05-04,26
2020-05-05,25
2020-05-06,26
2020-05-07,27
2020-05-08,24
2020-05-09,30
2020-05-10,25
2020-05-11,26
2020-05-12,27
2020-05-13,26
2020-05-14,26
2020-05-15,29
2020-05-16,32
2020-05-17,33
2020-05-18,30
2020-05-19,31
2020-05-20,31
2020-05-21,30
2020-03-16,60
2020-03-17,44
2020-03-18,35
2020-03-19,30
2020-03-20,24
2020-03-21,13
2020-03-22,11
2020-03-23,15
2020-03-24,9
2020-03-25,7
2020-03-26,6
2020-03-27,6
2020-03-28,4
2020-03-29,4
2020-03-30,5
2020-03-31,5
2020-04-01,5
2020-04-02,5
2020-04-03,5
2020-04-04,4
2020-04-05,4
2020-04-06,5
2020-04-07,5
2020-04-08,5
2020-04-09,5
2020-04-10,4
2020-04-11,4
2020-04-12,4
2020-04-13,5
2020-04-14,5
2020-04-15,5
2020-04-16,5
2020-04-17,5
2020-04-18,4
2020-04-19,4
2020-04-20,5
2020-04-21,5
2020-04-22,5
2020-04-23,5
2020-04-24,5
2020-04-25,4
2020-04-26,4
2020-04-27,5
2020-04-28,5
2020-04-29,5
2020-04-30,5
2020-05-01,5
2020-05-02,4
2020-05-03,4
2020-05-04,6
2020-05-05,6
2020-05-06,5
2020-05-07,5
2020-05-08,7
2020-05-09,5
2020-05-10,4
2020-05-11,6
2020-05-12,6
2020-05-13,6
2020-05-14,6
2020-05-15,6
2020-05-16,5
2020-05-17,5
2020-05-18,7
2020-05-19,7
2020-05-20,7
2020-05-21,7
2020-05-22,8
2020-05-23,6
2020-05-24,6
2020-05-25,9
2020-03-16,79
2020-03-17,70
2020-03-18,65
2020-03-19,59
2020-03-20,52
2020-03-21,39
2020-03-22,32
2020-03-23,31
2020-03-24,22
2020-03-25,19
2020-03-26,18
2020-03-27,18
2020-03-28,17
2020-03-29,16
2020-03-30,17
2020-03-31,17
2020-04-01,16
2020-04-02,16
2020-04-03,16
2020-04-04,17
2020-04-05,17
2020-04-06,18
2020-04-07,18
2020-04-08,17
2020-04-09,18
2020-04-10,17
2020-04-11,16
2020-04-12,14
2020-04-13,18
2020-04-14,19
2020-04-15,18
2020-04-16,18
2020-04-17,18
2020-04-18,16
